user_id,age,gender,location,category,preferred_brand,color_preference,size,season,festival,purchase_amount,purchase_frequency,avg_order_value,last_purchase_days,browsing_time,product_views,wishlist_items,discount_used,coupon_usage_rate,price_sensitivity,loyalty_score
72,38,Male,Bangalore,Dress,Zara,Green,M,Winter,Diwali,137.32,5,21.22,65,34,23,0,No,0.15,Medium,89.54
73,33,Male,Mumbai,Shirt,Adidas,Beige,S,Autumn,Christmas,286.92,2,278.9,67,35,17,8,Yes,0.63,Low,3.55
74,35,Female,Delhi,Shirt,Nike,White,S,Spring,Holi,117.25,1,51.5,46,16,3,5,Yes,0.07,Medium,86.32
75,41,Male,Hyderabad,T-shirt,Nike,Beige,M,Winter,Diwali,208.5,4,46.57,90,39,2,7,Yes,0.19,Low,36.0
76,43,Female,Kolkata,Jeans,H&M,Green,L,Winter,Christmas,265.98,0,113.24,95,27,8,1,No,0.34,High,63.93
77,42,Female,Kolkata,Shoes,H&M,Beige,XL,Autumn,Holi,145.06,8,124.6,72,38,2,6,No,0.08,Low,92.22
78,58,Male,Delhi,Shoes,Zara,Blue,S,Winter,Holi,119.91,6,80.0,43,25,2,5,Yes,0.19,High,15.17
79,46,Male,Hyderabad,Shirt,Nike,Red,S,Autumn,None,171.58,2,183.83,59,26,9,1,Yes,0.91,Medium,56.7
80,32,Female,Delhi,Hoodie,H&M,Blue,L,Summer,Diwali,289.93,3,144.02,46,14,20,1,No,0.02,Medium,76.44
81,18,Female,Mumbai,Jacket,Adidas,Beige,L,Autumn,Holi,326.87,5,29.57,72,14,21,3,Yes,0.65,Medium,75.76
82,42,Female,Bangalore,Hoodie,H&M,Blue,S,Summer,NewYear,199.88,2,109.5,35,14,6,3,No,0.38,Low,52.56
83,24,Male,Kolkata,Dress,Levis,Green,L,Spring,Holi,238.28,6,246.92,39,25,12,2,No,0.67,High,62.47
84,26,Female,Mumbai,Jacket,Levis,White,XL,Winter,Christmas,318.08,5,213.12,92,36,9,7,No,0.59,High,75.75
85,41,Male,Bangalore,Jacket,H&M,Blue,S,Autumn,None,52.52,8,222.96,51,4,7,6,Yes,0.22,High,84.1
86,18,Female,Mumbai,T-shirt,Nike,Green,XL,Autumn,Eid,96.59,4,215.47,4,15,12,1,Yes,0.85,High,76.18
87,25,Female,Hyderabad,Shirt,Nike,White,XL,Winter,None,253.94,3,107.07,80,32,5,2,Yes,0.49,High,35.4
88,41,Male,Kolkata,Hoodie,Uniqlo,Red,L,Winter,Eid,291.84,2,47.91,77,18,16,9,Yes,0.82,Low,99.67
89,28,Female,Delhi,Hoodie,Levis,Beige,XL,Spring,Diwali,302.82,9,96.29,84,14,5,8,No,0.41,High,43.45
90,34,Male,Delhi,Shirt,Adidas,Red,L,Spring,Diwali,156.99,0,252.9,51,1,12,4,Yes,0.98,Medium,2.45
91,25,Male,Bangalore,Hoodie,Nike,Black,M,Autumn,Holi,49.48,2,294.53,5,20,24,1,No,0.77,High,36.26
92,52,Female,Chennai,Shirt,Zara,Green,L,Spring,NewYear,164.47,2,158.28,55,10,20,2,Yes,0.97,Medium,12.78
93,52,Male,Hyderabad,T-shirt,Levis,White,XL,Summer,Diwali,96.14,6,22.72,101,10,9,7,Yes,0.51,Low,12.14
94,50,Male,Bangalore,Jeans,Adidas,Blue,M,Spring,Holi,116.09,6,59.21,20,24,23,3,Yes,0.47,Low,28.15
95,22,Female,Chennai,Jacket,Adidas,Red,L,Spring,None,274.85,0,110.18,24,34,7,1,Yes,0.76,Medium,5.34
96,59,Male,Mumbai,T-shirt,Nike,White,XL,Autumn,Diwali,44.92,2,182.0,36,28,19,1,Yes,0.88,High,68.85
97,56,Male,Hyderabad,Shoes,Adidas,Green,S,Summer,None,293.1,7,41.03,34,27,20,5,No,0.96,Low,7.4
98,58,Male,Mumbai,Dress,Nike,Black,S,Spring,None,161.13,8,284.14,109,1,23,7,Yes,0.32,Low,20.33
99,45,Female,Kolkata,Jeans,H&M,Red,L,Summer,NewYear,216.7,6,122.22,112,33,11,6,Yes,0.8,Low,9.29
100,24,Male,Hyderabad,Shoes,Levis,Beige,L,Summer,Diwali,49.59,6,275.52,54,4,21,3,Yes,0.21,High,6.32
101,26,Female,Chennai,Jacket,Uniqlo,White,S,Summer,None,131.33,7,238.55,34,7,12,1,Yes,0.55,Medium,26.78
102,25,Female,Kolkata,Hoodie,H&M,Beige,XL,Winter,NewYear,49.6,5,231.52,83,9,3,8,Yes,0.18,Medium,57.19
103,29,Male,Delhi,Shirt,Levis,White,XL,Winter,NewYear,337.31,2,189.88,17,16,17,3,No,0.35,High,96.47
104,51,Male,Chennai,Jacket,Nike,White,XL,Winter,Diwali,286.4,0,195.5,5,5,7,8,Yes,0.93,Low,87.56
105,50,Male,Bangalore,T-shirt,Levis,Green,L,Winter,NewYear,171.68,6,198.64,89,34,22,4,No,0.15,High,87.59
106,40,Female,Delhi,Dress,Nike,Green,M,Autumn,Diwali,93.79,0,196.04,18,23,10,6,Yes,0.63,High,17.61
107,41,Male,Delhi,T-shirt,H&M,Green,M,Spring,Diwali,328.04,0,175.04,55,25,23,4,No,0.59,Medium,26.49
108,54,Male,Bangalore,Jeans,Zara,Blue,M,Winter,Eid,133.72,8,296.2,53,13,15,1,Yes,0.12,High,7.64
109,52,Male,Hyderabad,Jeans,Zara,White,M,Autumn,None,73.12,9,225.04,50,24,2,5,Yes,0.33,High,77.85
110,57,Male,Delhi,Dress,Levis,Red,M,Spring,Christmas,205.84,6,237.54,72,11,13,6,No,0.56,Low,6.98
111,39,Male,Chennai,Shoes,Zara,Beige,L,Winter,Diwali,331.45,3,264.29,91,17,4,5,Yes,0.19,Low,55.67
112,44,Female,Kolkata,Shoes,Nike,Green,L,Spring,None,21.26,5,80.38,79,37,18,2,No,0.8,Medium,24.79
113,52,Female,Delhi,Jeans,Adidas,Green,M,Winter,NewYear,98.58,0,43.47,45,13,24,9,Yes,0.97,Low,24.34
114,18,Male,Chennai,Jeans,Nike,Beige,L,Autumn,Holi,329.69,6,155.21,13,27,23,7,No,0.21,High,99.07
115,52,Male,Mumbai,Hoodie,Adidas,Beige,L,Summer,Diwali,76.46,5,163.94,16,20,1,2,No,0.19,High,75.68
116,54,Male,Chennai,Shirt,H&M,White,M,Summer,NewYear,57.37,3,252.17,86,33,2,4,No,0.45,High,83.69
117,31,Male,Kolkata,Hoodie,Uniqlo,Green,XL,Spring,NewYear,208.16,6,144.26,84,32,2,8,Yes,0.75,Medium,57.2
118,20,Female,Chennai,Hoodie,Adidas,Beige,L,Autumn,NewYear,304.41,2,179.84,13,8,4,4,No,0.28,Low,87.1
119,18,Male,Bangalore,Shoes,Zara,Blue,XL,Summer,NewYear,177.45,0,167.58,20,29,3,6,Yes,0.02,High,64.55
120,22,Female,Kolkata,Dress,Nike,Blue,L,Winter,NewYear,348.21,3,30.7,66,19,17,6,No,0.54,Low,94.62
121,43,Female,Hyderabad,Shoes,H&M,Green,L,Summer,Diwali,244.13,2,192.26,99,6,14,4,No,0.96,Low,28.13
122,31,Male,Mumbai,Shirt,Zara,Beige,M,Spring,Christmas,44.44,0,251.85,47,39,2,1,No,0.39,Low,59.53
123,56,Female,Bangalore,T-shirt,H&M,White,L,Spring,Eid,347.63,1,64.1,119,21,16,4,Yes,0.42,Low,69.01
124,44,Female,Hyderabad,Jeans,Uniqlo,White,S,Autumn,NewYear,154.61,4,186.41,19,22,11,6,Yes,0.97,Medium,39.29
125,26,Female,Chennai,Jeans,Nike,White,S,Spring,NewYear,114.84,7,186.21,45,10,13,6,Yes,0.69,Medium,87.97
126,32,Female,Kolkata,Shirt,Levis,Black,M,Summer,Eid,204.1,0,65.97,37,10,1,3,No,0.72,Medium,97.98
127,32,Male,Mumbai,Hoodie,Nike,Green,XL,Summer,Diwali,120.42,3,54.57,54,29,23,0,Yes,0.56,High,49.38
128,43,Male,Bangalore,Dress,Uniqlo,White,XL,Summer,None,48.53,3,294.41,6,16,2,5,Yes,0.97,High,39.06
129,59,Female,Hyderabad,Jeans,Nike,Blue,XL,Summer,Holi,20.47,4,130.24,14,1,2,2,No,0.69,High,47.19
130,30,Male,Hyderabad,Jacket,Levis,Beige,S,Autumn,Holi,168.36,6,83.68,4,17,21,4,No,0.9,Medium,85.27
131,49,Male,Mumbai,Hoodie,Adidas,Red,XL,Winter,None,296.16,7,67.97,86,30,5,3,Yes,0.7,Low,64.55
132,56,Male,Chennai,Jeans,H&M,Red,XL,Winter,Diwali,208.86,5,206.93,115,26,4,1,Yes,0.74,Medium,4.48
133,49,Male,Mumbai,Jacket,Levis,White,M,Autumn,Holi,349.74,0,190.64,55,19,12,6,Yes,0.29,High,54.22
134,21,Male,Hyderabad,Shirt,Zara,Red,XL,Spring,Eid,114.66,6,200.19,103,21,3,4,No,0.3,High,1.73
135,47,Female,Delhi,Shirt,Uniqlo,Red,S,Winter,None,112.55,2,44.64,100,17,20,6,No,0.78,Low,77.85
136,54,Male,Bangalore,Hoodie,Adidas,Black,S,Spring,Christmas,72.72,5,270.19,34,21,10,8,No,0.3,Medium,32.83
137,40,Male,Mumbai,Jeans,Zara,Blue,S,Winter,Diwali,74.14,7,128.99,27,19,20,3,No,0.56,Low,47.2
138,56,Male,Hyderabad,Shoes,Zara,Blue,M,Spring,None,114.11,6,107.74,7,7,18,4,No,0.25,Medium,79.87
139,32,Male,Chennai,Jacket,Uniqlo,Black,M,Autumn,Holi,281.64,9,149.46,3,17,21,8,Yes,0.82,High,4.64
140,46,Female,Hyderabad,Dress,Adidas,Black,L,Summer,Diwali,318.9,5,129.22,47,1,21,9,Yes,0.11,Low,15.85
141,53,Female,Chennai,Jeans,Zara,Red,XL,Spring,Eid,341.78,8,261.8,97,37,21,3,Yes,0.83,Low,39.8
142,30,Female,Mumbai,Dress,Zara,Green,M,Summer,Diwali,96.66,8,280.19,2,6,10,4,No,0.6,Medium,22.99
143,49,Female,Chennai,Jeans,Adidas,Beige,S,Spring,Diwali,310.83,0,104.97,106,26,1,4,No,0.19,Medium,33.79
144,24,Male,Kolkata,Shoes,Nike,Beige,S,Spring,Eid,128.32,0,261.9,80,2,6,7,Yes,0.54,Medium,99.82
145,39,Female,Kolkata,Shoes,Zara,Red,M,Spring,NewYear,57.24,0,238.83,25,32,11,3,Yes,0.28,High,82.54
146,45,Male,Kolkata,Hoodie,H&M,Beige,M,Spring,Eid,307.11,7,280.63,60,5,2,3,Yes,0.32,Medium,88.39
147,19,Male,Delhi,Hoodie,Adidas,Black,M,Spring,Diwali,229.91,9,88.81,79,37,7,6,No,0.35,High,93.71
148,59,Male,Mumbai,Shoes,Zara,Blue,L,Summer,Eid,74.36,6,181.55,24,31,20,4,No,0.06,Medium,34.09
149,23,Male,Hyderabad,T-shirt,Uniqlo,Beige,S,Spring,NewYear,161.84,2,96.87,15,12,21,5,No,0.99,Medium,29.71
150,45,Male,Hyderabad,Shoes,Levis,Red,L,Summer,None,114.8,1,250.75,95,35,21,5,No,0.03,High,23.41
151,45,Female,Delhi,Shirt,H&M,Green,L,Autumn,Eid,263.14,3,21.49,14,30,21,5,No,0.66,Medium,83.01
152,37,Female,Chennai,Shirt,Levis,Red,XL,Winter,Eid,169.63,2,178.15,54,6,18,9,Yes,0.37,High,67.96
153,47,Female,Delhi,T-shirt,Levis,White,S,Spring,Diwali,346.46,6,114.98,78,15,21,4,Yes,0.65,High,23.62
154,28,Female,Chennai,Jacket,Zara,Red,S,Winter,None,38.07,9,110.35,6,15,19,4,No,0.36,Medium,37.7
155,45,Male,Chennai,Dress,H&M,Black,M,Summer,Christmas,137.16,7,200.57,78,16,4,8,No,0.67,Medium,50.67
156,42,Female,Bangalore,Jeans,H&M,Blue,M,Autumn,Christmas,179.03,5,258.42,81,20,13,7,Yes,0.73,Low,52.81
157,56,Male,Hyderabad,Jeans,Nike,Blue,XL,Autumn,Holi,186.03,2,190.57,18,13,18,3,No,0.69,Medium,88.87
158,50,Female,Kolkata,T-shirt,Levis,Beige,L,Autumn,Eid,124.26,5,258.89,20,31,20,6,No,0.11,Low,38.06
159,18,Male,Chennai,Shirt,H&M,Black,M,Winter,Eid,260.65,1,94.09,115,34,24,7,Yes,0.66,Medium,90.85
160,44,Male,Bangalore,Hoodie,Nike,White,M,Summer,None,308.67,6,165.46,62,29,13,8,No,0.28,High,44.14
161,30,Female,Hyderabad,Jeans,Adidas,Black,S,Spring,NewYear,329.78,9,146.15,81,3,19,4,No,0.03,High,74.64
162,58,Male,Kolkata,Shirt,Nike,Red,S,Spring,Christmas,285.68,6,23.26,80,9,17,2,Yes,0.41,Low,93.03
163,20,Male,Chennai,Jacket,Uniqlo,Black,M,Summer,Holi,300.69,3,175.91,40,11,1,3,No,0.43,Medium,90.76
164,56,Female,Chennai,Dress,Zara,Black,S,Winter,None,201.68,7,205.23,39,11,6,9,No,0.47,Low,5.7
165,23,Male,Delhi,Jacket,Adidas,White,XL,Spring,Eid,292.54,3,185.74,52,25,19,5,Yes,0.7,Medium,20.57
166,25,Female,Delhi,T-shirt,Adidas,Red,M,Summer,Christmas,120.16,6,226.16,32,22,20,9,Yes,0.31,Medium,47.69
167,44,Female,Hyderabad,Shoes,Uniqlo,Green,S,Spring,Holi,151.5,3,179.98,108,9,1,4,No,0.32,High,43.16
168,26,Female,Kolkata,Shoes,Nike,Green,XL,Autumn,Diwali,124.58,4,38.69,73,20,8,8,Yes,0.06,Low,64.09
169,54,Male,Chennai,Shoes,Zara,Blue,S,Spring,Christmas,174.24,6,52.6,27,21,17,2,Yes,0.69,High,94.47
170,50,Male,Hyderabad,Jacket,Nike,Beige,S,Winter,Holi,114.24,9,187.01,110,10,21,1,No,0.57,High,11.24
171,59,Male,Hyderabad,Jeans,H&M,Black,S,Summer,None,337.33,2,96.99,52,22,22,5,Yes,0.35,High,45.19
172,41,Female,Mumbai,Dress,Nike,Blue,M,Winter,Diwali,123.24,9,42.3,97,29,15,6,No,0.71,Low,19.24
173,32,Male,Delhi,Shoes,Adidas,White,L,Summer,Holi,52.35,4,140.29,63,9,18,4,Yes,0.54,Medium,89.41
174,49,Female,Kolkata,T-shirt,Zara,Green,S,Autumn,Holi,193.85,2,175.21,74,5,7,0,Yes,0.47,Medium,96.46
175,49,Female,Chennai,T-shirt,Nike,Black,XL,Summer,Eid,38.84,4,112.05,63,11,16,2,No,0.51,Low,47.87
176,41,Male,Hyderabad,Shoes,Zara,White,M,Spring,NewYear,56.48,2,221.72,17,1,7,2,No,0.64,Medium,10.4
177,58,Female,Chennai,Shoes,Zara,Beige,M,Spring,Christmas,92.4,9,200.26,113,1,17,3,No,0.66,Low,78.53
178,29,Male,Mumbai,Dress,H&M,White,XL,Autumn,Eid,173.24,6,113.19,49,39,4,9,Yes,0.29,Low,69.71
179,56,Male,Kolkata,Shoes,H&M,Black,S,Summer,Diwali,162.97,0,231.36,100,5,12,5,No,0.14,Medium,35.47
180,19,Male,Hyderabad,Dress,Adidas,Beige,L,Autumn,NewYear,283.9,8,201.63,81,22,13,4,No,0.16,High,88.74
181,20,Male,Chennai,T-shirt,Uniqlo,White,S,Spring,Holi,264.03,8,198.48,82,26,4,0,Yes,0.64,Low,97.58
182,54,Male,Delhi,Shoes,Zara,Beige,XL,Winter,Eid,160.69,4,174.96,116,6,21,5,Yes,0.87,Low,55.79
183,34,Female,Mumbai,Jacket,Uniqlo,Black,M,Autumn,NewYear,130.12,8,23.19,23,32,1,8,Yes,0.41,Low,56.57
184,19,Female,Kolkata,Hoodie,Adidas,Black,L,Winter,Christmas,124.43,9,215.02,98,11,1,0,No,0.17,Low,29.75
185,19,Female,Mumbai,Jacket,Zara,Beige,M,Winter,Diwali,275.42,5,125.29,72,10,7,7,Yes,0.76,Medium,58.45
186,45,Male,Delhi,T-shirt,Zara,Red,XL,Summer,None,37.18,4,283.93,13,39,9,7,Yes,0.83,Medium,43.96
187,40,Male,Kolkata,Dress,Levis,Blue,S,Autumn,Eid,24.23,2,249.04,23,34,1,2,No,0.88,Low,30.22
188,54,Male,Mumbai,Jacket,Uniqlo,White,L,Winter,Diwali,282.53,7,184.55,57,31,16,8,Yes,0.61,High,6.72
189,49,Female,Bangalore,Dress,Nike,White,M,Winter,None,177.46,3,90.61,62,12,18,7,Yes,0.86,Medium,25.27
190,50,Male,Delhi,Jacket,H&M,Red,M,Summer,Eid,63.19,9,77.04,54,16,22,2,No,0.02,High,19.79
191,18,Female,Delhi,Jacket,Nike,Red,M,Summer,Diwali,97.74,2,115.31,20,38,15,9,Yes,0.11,High,54.2
192,36,Female,Delhi,Dress,Uniqlo,Red,S,Spring,Diwali,327.73,5,153.44,86,3,6,4,No,0.09,Low,60.17
193,19,Male,Bangalore,Jeans,H&M,Green,L,Winter,NewYear,303.64,7,102.9,111,2,2,2,No,0.71,Medium,60.86
194,43,Male,Bangalore,Jacket,Nike,Green,S,Spring,Eid,254.23,8,164.18,52,5,9,4,No,0.07,Low,38.82
195,49,Female,Chennai,Shoes,Levis,Beige,S,Winter,Diwali,179.13,5,66.3,23,11,4,8,No,0.5,Low,42.12
196,23,Male,Hyderabad,Hoodie,H&M,Green,S,Spring,Holi,191.71,4,293.76,105,25,13,3,No,0.47,High,83.42
197,49,Female,Mumbai,T-shirt,Zara,Black,XL,Summer,Eid,341.83,1,50.22,35,35,23,5,Yes,0.31,High,47.62
198,21,Male,Chennai,Jeans,Nike,Beige,XL,Autumn,Diwali,338.7,1,280.94,67,35,22,2,No,0.87,High,98.78
199,28,Male,Mumbai,Dress,H&M,White,XL,Summer,NewYear,91.04,8,275.8,34,22,11,2,No,0.17,Low,43.96
200,34,Female,Hyderabad,Jeans,Levis,Blue,L,Spring,None,287.66,1,167.1,33,37,13,4,No,0.35,Low,64.96
201,55,Male,Bangalore,Shirt,H&M,Black,S,Spring,None,85.09,1,222.97,46,22,11,7,No,0.77,Low,5.04
202,41,Female,Hyderabad,Shirt,H&M,White,S,Autumn,Holi,90.47,2,142.09,81,11,19,7,Yes,0.03,Low,65.33
